millis,bmetemp(*C),bmepres(Pa),bmehum(%),bmegas_res(KOhm),bmealt(m),bmptemp(*C),bmppres(PA),bmpalt(m),accX (mg),accY (mg),accZ (mg),gyrX (deg/sec),gyrY (deg/sec),gyrZ (deg/sec),magX (uT),magY (uT),magZ (uT),UV [0-1023],NO2[0-1023],CO[0-1023],NH3[0-1023],radiation count,rad count per min,uSv/h,uSv/h error,noise events,
1953965,25.30,73354,9.16,26.26,2645.98,12.11,73718.00,2603.78,-43.945,-983.398,349.609,-1.389,162.908,-18.191,10.800,-49.050,-1.950,0,0,0,213,80,4.01,0.08,0.01,0,
1955350,25.30,73272,9.02,26.33,2654.86,12.05,73623.86,2613.92,70.313,-955.566,306.152,-1.817,129.191,-8.664,-2.550,-37.800,54.000,0,0,0,214,80,4.00,0.08,0.01,0,
1956742,25.29,73191,8.87,26.12,2663.63,12.03,73585.17,2618.09,138.184,-1059.082,159.668,-15.427,-142.878,4.847,7.650,-48.900,46.050,0,0,0,214,79,3.97,0.07,0.01,0,
1958130,25.28,73107,8.72,26.20,2672.85,12.02,73489.36,2628.43,137.207,-1007.812,-17.090,1.481,-149.809,4.855,17.550,-55.500,18.600,0,0,0,213,79,3.96,0.07,0.01,0,
1959518,25.27,73021,8.60,26.12,2682.40,12.00,73399.19,2638.18,-5.859,-977.051,-10.742,-5.206,-170.618,7.489,-7.200,-52.800,12.450,0,0,0,213,79,3.96,0.07,0.01,0,
1960906,25.26,72931,8.46,26.02,2692.06,11.95,73303.95,2648.48,-254.883,-1057.617,86.914,14.313,-250.137,-3.275,-12.000,-52.050,18.600,0,0,0,213,79,3.95,0.07,0.01,0,
1962293,25.25,72842,8.33,25.99,2701.75,11.93,73240.41,2655.35,40.039,-953.125,-203.613,11.939,17.435,21.344,39.600,-37.350,30.450,0,0,0,213,79,3.97,0.07,0.01,0,
1963679,25.24,72753,8.19,25.87,2711.54,11.95,73145.65,2665.62,290.039,-900.879,147.949,-30.153,86.076,2.718,-29.850,-35.850,38.100,0,0,0,215,79,3.97,0.07,0.01,0,
1965065,25.23,72667,8.07,25.75,2720.69,11.93,73047.00,2676.32,173.340,-988.769,412.109,-14.046,76.489,-32.786,12.300,-54.000,18.300,0,0,0,213,79,3.96,0.07,0.01,0,
1966462,25.22,72580,7.94,25.70,2730.29,11.89,72946.64,2687.22,83.496,-791.016,550.293,-17.901,-46.573,-11.298,-13.050,-48.600,34.950,0,0,0,213,79,3.96,0.07,0.01,0,
1967847,25.22,72490,7.83,25.62,2740.12,11.86,72881.44,2694.30,-161.133,-930.664,508.301,9.473,-5.534,-8.183,23.400,-52.050,20.400,0,0,0,214,79,3.95,0.07,0.01,0,
1969231,25.21,72402,7.70,25.53,2749.62,11.81,72782.84,2705.03,-213.867,-969.238,298.340,12.786,101.092,-28.137,-9.150,-51.900,23.250,0,0,0,213,78,3.92,0.07,0.01,0,
1970620,25.20,72316,7.60,25.56,2759.25,11.73,72686.64,2715.50,-24.902,-974.121,30.273,8.962,64.847,-9.740,21.450,-34.350,56.250,0,0,0,213,78,3.91,0.07,0.01,0,
1972006,25.20,72227,7.50,25.56,2768.99,11.69,72612.30,2723.61,47.363,-937.012,193.359,-13.458,-3.038,-1.351,-4.800,-37.350,56.550,0,0,0,213,78,3.91,0.07,0.01,0,
1973392,25.19,72140,7.42,25.51,2778.31,11.67,72547.77,2730.64,-159.668,-956.543,442.871,-20.237,70.710,-33.160,16.800,-52.050,12.150,0,0,0,213,78,3.90,0.07,0.01,0,
1974780,25.18,72058,7.33,25.42,2787.31,11.62,72449.46,2741.38,-256.348,-1128.418,227.539,-9.015,23.847,-13.580,19.200,-50.700,40.200,0,0,0,213,78,3.92,0.07,0.01,0,
1976167,25.18,71976,7.25,25.37,2796.53,11.60,72355.89,2751.61,-570.801,-903.809,650.391,13.511,250.130,-0.672,6.000,-52.800,10.650,0,0,0,212,80,4.01,0.08,0.01,0,
