millis, UV [0-1023], BME_1_Temp, BME_1_Pres, BME_1_Hum, BME_1_Res, BME_1_Alt, BME_2_Temp, BME_2_Pres, BME_2_Hum, BME_2_Res, BME_2_Alt, Scaled. Acc.X, Scaled. Acc.Y, Scaled. Acc.Z, Gyr.X, Gyr.Y, Gyr.Z, Mag.X, Mag.Y, Mag.Z, Tmp, Radiation_count, counts_per_minute, uSvh, uSvhError, noiseCount, Ozone (PPB.), 
83952, 0,28.29473,27604,25.46500,111.77100,704.98511,27.41703,27609,27.63413,140.53200,704.45135,-7.81250, 0.00000, 1031.25000, -1.18321, 3.80153, -1.35878, 24.90000, -19.65000, 59.70000, 33.34912, 6,4.30880,0.08125,0.03317,0,20, 
85695, 1,28.29252,27603,25.49775,111.69600,704.98511,27.41484,27609,27.66762,139.70500,704.54120,-11.71875, 5.85937, 1031.25000, -1.19847, 3.87786, -0.54962, 24.90000, -21.45000, 60.45000, 33.10950, 6,4.22089,0.07959,0.03249,0,20, 
87435, 0,28.29410,27602,25.55272,110.22100,704.98511,27.41578,27608,27.71260,139.47099,704.54120,-17.08984, 10.25391, 1033.69140, -1.50382, 3.23664, -2.83969, 25.35000, -19.95000, 58.95000, 33.25327, 6,4.13641,0.07800,0.03184,0,20, 
89178, 0,28.29758,27603,25.65729,108.92600,704.98511,27.41860,27608,27.82514,138.31100,704.45135,-7.32422, -4.88281, 1037.59770, -0.90840, 1.33588, -1.26718, 25.65000, -21.45000, 59.70000, 33.10950, 6,4.05533,0.07647,0.03122,0,20, 
90917, 0,28.30105,27603,25.79491,107.45300,704.98511,27.41860,27608,27.93755,136.60600,704.54120,-10.74219, 17.57813, 1032.22660, 1.52672, 0.73282, 0.32061, 25.35000, -20.40000, 58.95000, 33.34912, 6,3.97724,0.07500,0.03062,0,20, 
92660, 0,28.30390,27602,25.92163,108.07900,704.98511,27.41891,27609,28.07822,135.93600,704.45135,-13.18359, -38.57422, 1041.99220, -0.12977, -0.51145, -0.41221, 24.15000, -19.65000, 58.95000, 33.34912, 7,4.55265,0.08585,0.03245,0,20, 
94398, 0,28.30548,27602,26.03185,108.71300,704.98511,27.41515,27609,28.16236,137.62399,704.45135,-2.44141, 14.16016, 1021.48430, -0.42748, 3.99237, -0.04580, 24.30000, -21.75000, 59.55000, 33.25327, 7,4.46837,0.08426,0.03185,0,20, 
96139, 0,28.30011,27602,26.05346,110.51300,705.07495,27.40857,27608,28.16182,139.47099,704.54120,-5.85937, 8.30078, 1032.71480, -0.06107, -0.30534, 2.76336, 25.50000, -21.30000, 59.85000, 33.25327, 7,4.38729,0.08273,0.03127,0,20, 
97876, 0,28.29821,27601,25.98724,110.51300,705.16479,27.40135,27607,28.10493,140.65100,704.62842,-8.30078, 2.44141, 1041.99220, -1.38168, 2.80153, -1.47328, 24.30000, -21.30000, 59.85000, 33.10950, 7,4.30897,0.08125,0.03071,0,20, 
99616, 0,28.29410,27601,25.92088,111.39800,705.07495,27.39351,27607,28.00299,141.48900,704.54120,-15.13672, -9.76563, 1035.64450, 0.16031, 0.25191, -0.29008, 24.90000, -20.40000, 60.00000, 33.10950, 7,4.23327,0.07982,0.03017,0,20, 
101359, 0,28.28873,27602,25.82696,112.29800,704.98511,27.38849,27607,27.90137,142.45900,704.54120,-27.34375, 0.97656, 1030.76170, -0.58015, 0.94656, 2.03053, 25.50000, -20.55000, 59.10000, 33.25327, 7,4.16031,0.07845,0.02965,0,20, 
103099, 0,28.28431,27603,25.73318,113.05800,704.98511,27.38849,27608,27.81147,142.58099,704.45135,-12.20703, 1.95312, 1041.99220, -1.20611, 4.14504, -0.54962, 25.80000, -21.30000, 59.85000, 33.25327, 7,4.08970,0.07712,0.02915,0,20, 
104842, 0,28.28336,27603,25.63425,112.29800,704.98511,27.38881,27608,27.76094,142.45900,704.54120,-11.71875, -1.46484, 1031.25000, -2.59542, 4.29771, -2.04580, 25.05000, -20.55000, 60.60000, 33.10950, 7,4.02164,0.07583,0.02866,0,20, 
