millis,bmetemp(*C),bmepres(Pa),bmehum(%),bmegas_res(KOhm),bmealt(m),accX (mg),accY (mg),accZ (mg),gyrX (deg/sec),gyrY (deg/sec),gyrZ (deg/sec),magX (uT),magY (uT),magZ (uT),UV [0-1023],radiation count,rad count per min,uSv/h,uSv/h error,noise events,ozone concentration,
9593925,14.74,876,6.78,28.65,26379.84,1005.371,42.969,22.949,8.641,0.649,2.305,-49.950,-15.600,23.850,0,806,40.31,0.76,0.03,0,20,
9595513,14.76,875,6.78,28.61,26379.84,995.117,31.250,24.414,14.794,3.733,-3.511,-49.950,-11.700,30.150,0,807,40.51,0.76,0.03,0,20,
9597097,14.77,874,6.77,28.53,26387.64,980.469,32.715,27.344,11.840,2.771,0.450,-49.500,-3.300,37.050,0,807,40.45,0.76,0.03,1,20,
9598682,14.78,873,6.78,28.50,26391.55,985.351,25.391,19.531,0.137,3.466,-2.718,-48.600,-2.100,39.000,0,807,40.40,0.76,0.03,0,20,
9600266,14.79,872,6.78,28.48,26395.47,1004.883,30.762,28.320,4.107,2.122,-2.351,-48.300,-0.900,39.750,0,807,40.55,0.76,0.03,0,20,
9601852,14.81,871,6.78,28.46,26399.38,1007.812,30.273,32.715,17.344,-1.198,-0.763,-48.600,8.100,38.550,0,807,40.50,0.76,0.03,0,20,
9603436,14.82,869,6.78,28.53,26407.22,1000.976,28.809,30.273,-4.458,-0.924,1.206,-50.100,12.300,37.200,28,807,40.44,0.76,0.03,0,20,
9605018,14.83,869,6.77,28.40,26403.30,999.512,40.039,20.996,-7.458,2.840,-0.382,-48.300,8.850,37.950,0,807,40.39,0.76,0.03,1,20,
9606602,14.84,869,6.78,28.46,26407.22,1007.324,29.785,16.113,-13.183,4.198,-3.260,-49.200,2.550,39.450,0,801,40.24,0.76,0.03,0,20,
9608190,14.85,868,6.78,28.42,26415.08,1006.348,39.062,24.414,-7.550,2.092,-3.534,-48.000,-2.250,38.100,0,802,40.23,0.76,0.03,0,20,
9609775,14.86,868,6.77,28.38,26411.15,1014.648,26.855,35.645,-2.893,2.115,-2.725,-49.950,-4.950,37.650,0,803,40.23,0.76,0.03,0,20,
9611359,14.87,867,6.78,28.32,26415.08,1003.418,31.250,27.344,4.191,0.992,0.023,-49.500,-1.050,37.650,0,804,40.23,0.76,0.03,0,20,
9612941,14.89,865,6.77,28.40,26422.95,994.141,47.363,26.367,5.290,3.702,-3.298,-47.700,1.800,38.850,0,798,40.07,0.76,0.03,1,20,
9614530,14.90,864,6.77,28.40,26426.89,994.141,22.949,32.227,-2.282,1.145,0.534,-49.050,3.900,39.000,0,798,40.02,0.75,0.03,1,20,
9616114,14.91,864,6.78,28.26,26426.89,982.422,19.043,36.133,-16.374,2.473,-3.916,-48.750,-3.300,39.150,0,798,39.97,0.75,0.03,1,20,
9617699,14.92,865,6.78,28.17,26426.89,991.211,17.090,29.297,2.198,1.221,0.840,-48.000,-9.150,34.500,0,798,39.92,0.75,0.03,1,20,
9619283,14.93,863,6.77,28.25,26430.83,992.676,19.531,20.508,10.328,-0.206,-0.107,-49.950,-5.250,35.100,0,796,39.96,0.75,0.03,0,20,
9620871,14.95,862,6.77,28.53,26434.79,987.793,29.297,27.832,6.985,-0.588,2.046,-50.400,-0.150,38.550,2,797,39.96,0.75,0.03,0,20,
9622455,14.96,862,6.78,28.06,26434.79,1005.859,24.414,27.832,-10.076,0.519,1.962,-49.050,-1.200,37.950,0,797,39.91,0.75,0.03,1,20,
9624039,14.97,860,6.78,28.30,26438.74,994.141,25.391,32.227,-10.748,0.084,1.817,-48.450,-10.650,36.300,0,799,39.95,0.75,0.03,0,20,
9625623,14.98,860,6.77,28.32,26438.74,1003.906,16.602,26.367,5.252,2.000,-2.664,-49.800,-12.000,32.400,0,794,39.85,0.75,0.03,0,20,
